reactionid,equation,flux
R1270,R1270: atp_c + fgam_c + gln__L_c + h2o_c --> FGAM_c + adp_c + glu__L_c + h_c + pi_c,0.018898840745026096
R1271,R1271: FGAM_c + atp_c --> AIR_c + adp_c + h_c + pi_c,0.018898840745026096
R1272,R1272: AIR_c + co2_c --> 5aizc_c + 2.0 h_c,0.018898840745026096
R1273,R1273: 5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,0.018898840745026096
R1274,R1274: 25aics_c --> aicar_c + fum_c,0.018898840745026093
R1275,R1275: fprica_c --> h2o_c + imp_c,0.039903831349614956
R1278,R1278: adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,0.005336865819372445
R1280_num1,R1280_num1: h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,0.010776473440615077
R1282,R1282: atp_c + gmp_c --> adp_c + gdp_c,0.005656506980746539
R1284,R1284: gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,0.005656506980746623
R1285,R1285: adp_c + dgdp_c --> atp_c + dgmp_c,0.005656506980746625
R1312,R1312: amp_c + utp_c --> adp_c + udp_c,1.5814549832696867
R1313,R1313: amp_c + ctp_c --> adp_c + cdp_c,0.0015767841411809425
R1321,R1321: adn_c + atp_c --> adp_c + amp_c + h_c,0.017925875881315646
R1345,R1345: atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,0.010776473440615079
R1357_num1,R1357_num1: gdp_c + h_c + pep_c --> gtp_c + pyr_c,0.040152115475651326
R1360_num1,R1360_num1: dadp_c + h_c + pep_c --> datp_c + pyr_c,0.01067373163874489
R1367,R1367: asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,0.029127357908999837
R1368,R1368: dcamp_c --> amp_c + fum_c,0.029127357908999833
R1369,R1369: atp_c + h_c + so4_c --> aps_c + ppi_c,0.004138211464219277
R1370,R1370: 10fthf_c + gar_c --> fgam_c + h_c + thf_c,0.018898840745026093
R1371,R1371: 10fthf_c + aicar_c --> fprica_c + thf_c,0.03990383134961496
R1372_num1,R1372_num1: aps_c + atp_c --> adp_c + h_c + paps_c,0.004138211464219276
R1375,R1375: orot_c + prpp_c --> orot5p_c + ppi_c,0.019097132422636342
R1376,R1376: h_c + orot5p_c --> co2_c + ump_c,0.019097132422636335
R1377,R1377: atp_c + ump_c --> adp_c + udp_c,0.015757738467958426
R1380,R1380: atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,0.01042087264858639
R1383,R1383: cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,0.005656506980746626
R1384,R1384: trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,0.005336865819372446
R1411,R1411: dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,0.005656506980746623
R1414,R1414: dutp_c + h2o_c --> dump_c + h_c + ppi_c,0.005336865819372446
R1420,R1420: datp_c + uri_c --> dadp_c + h_c + ump_c,0.005336865819372446
R1440,R1440: dhor__S_c + fum_c --> orot_c + succ_c,0.01909713242263634
R1444,R1444: dump_c + mlthf_c --> dhf_c + dtmp_c,0.005336865819372446
R1455_num1,R1455_num1: ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,0.0026256238255736065
R1461,R1461: dhf_c + h_c + nadph_c --> nadp_c + thf_c,0.005336865819372446
R1505,R1505: h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,0.026124957064457416
R1518,R1518: h_c + pmtcoa_c + ser__L_c --> 3dsphgn_c + co2_c + coa_c,0.00016373903885286378
R1520,R1520: h_c + nadph_c + o2_c + sphgn_c --> h2o_c + nadp_c + psphings_c,4.260930838675432e-05
R1521,R1521: ser__L_c + stcoa_c --> C20DHSPH_c + co2_c + coa_c,0.00010052429131323832
R1523,R1523: C20SPH_c + h_c + nadph_c + o2_c --> C20PSPH_c + h2o_c + nadp_c,4.260930838675432e-05
R1524,R1524: C171COA_c + 4.0 h_c + ser__L_c --> C191DHSPH_c + co2_c + coa_c,0.0001381877235155154
R1526_num1,R1526_num1: psphings_c + stcoa_c --> CERB1A_c + coa_c,2.130465419337716e-05
R1527_num1,R1527_num1: ocdce9coa_c + psphings_c --> CERB1B_c + coa_c,2.130465419337716e-05
R1528_num1,R1528_num1: C20PSPH_c + stcoa_c --> CERB1C_c + coa_c + 3.0 h_c,2.130465419337716e-05
R1529_num1,R1529_num1: C20PSPH_c + ocdce9coa_c --> CERB1D_c + coa_c + 3.0 h_c,2.130465419337716e-05
R1530_num1,R1530_num1: sphgn_c + stcoa_c --> CERB2A_c + coa_c,6.056486523305473e-05
R1531_num1,R1531_num1: ocdce9coa_c + sphgn_c --> CERB2B_c + coa_c,6.056486523305473e-05
R1532_num1,R1532_num1: C20SPH_c + stcoa_c --> CERB2C_c + coa_c + 3.0 h_c,2.8957491463241987e-05
R1533_num1,R1533_num1: C20SPH_c + ocdce9coa_c --> CERB2D_c + coa_c + 3.0 h_c,2.8957491463241987e-05
R1534,R1534: CERB2A_c + udpgal_c --> GALCERA_c + udp_c,3.1607373769812746e-05
