	log2FoldChange	pvalue
MYCTH_2294657	0.78232701	0.025054032
MYCTH_2294661	-0.910010711	0.007882571
MYCTH_2294663	-0.74927811	0.00935821
MYCTH_2294664	0.099684941	0.769926018
MYCTH_2313362	0.129959871	0.189423122
MYCTH_2122256	-0.457270972	0.003790447
MYCTH_2294675	0.686886398	0.000214215
MYCTH_2294679	0.16626052	0.270656646
MYCTH_2294684	0.313143099	0.211089186
MYCTH_2294689	0.820568491	9.96182E-06
MYCTH_98838	-0.611807526	0.019425467
MYCTH_2131574	0.211273634	0.186501038
MYCTH_2037019	-0.130256096	0.601439297
MYCTH_2106248	-0.594899659	0.014593192
MYCTH_2294698	-0.662213873	5.75991E-05
MYCTH_2294700	-0.327498581	0.130480907
MYCTH_2141429	0.468910937	0.020851478
MYCTH_2294705	0.171360343	0.519120893
MYCTH_2037035	-0.225533282	0.30580497
MYCTH_2294706	1.174945476	7.39523E-10
MYCTH_2294707	-0.356660743	0.024063648
MYCTH_2053230	-0.635911377	0.394726453
MYCTH_2313370	1.029595261	1.64955E-11
MYCTH_2294711	-0.178591317	0.898500382
MYCTH_2294713	-0.25405791	0.184873999
MYCTH_35909	0.460240831	0.012007182
MYCTH_2106260	1.43473863	1.38354E-08
MYCTH_2087474	0.223373297	0.269432046
MYCTH_2294721	0.468260086	0.016149376
MYCTH_2294727	-0.586846342	8.45164E-06
MYCTH_2074876	0.395275247	0.040271165
MYCTH_2294730	-0.08300511	0.512134282
MYCTH_2294733	0.213612929	0.15115561
MYCTH_2294734	-0.07532657	0.545156937
MYCTH_2294738	0.530319468	0.045583459
MYCTH_62175	0.317958694	0.08241048
MYCTH_2055617	0.418857751	0.120672009
MYCTH_2136549	0.810453942	0.00136235
MYCTH_2294749	-0.297597639	0.258657213
MYCTH_2294752	0.537049724	0.23560383
MYCTH_2294755	0.518671093	0.011362549
MYCTH_2294757	-1.166266364	3.27026E-06
MYCTH_2294760	-0.46187405	0.026990967
MYCTH_2294761	0.104775296	0.572071268
MYCTH_2074905	0.360761322	0.061759333
MYCTH_2313379	0.17809627	0.32808673
MYCTH_2294768	-0.370645683	0.199694711
MYCTH_2087521	0.386853654	0.036703801
MYCTH_44797	0.447182932	0.184515339
MYCTH_2294774	-0.684912486	0.000529438
MYCTH_2049886	0	1
MYCTH_75987	#N/A	#N/A
MYCTH_41898	0	1
MYCTH_2294775	-0.020435104	0.933379135
MYCTH_2294783	0.875100068	6.93232E-05
MYCTH_2294784	-0.053487314	0.793106528
MYCTH_2294789	0.051615666	0.829645073
MYCTH_2294791	0.093910015	0.566482476
MYCTH_2114377	0.890277789	1.43018E-05
MYCTH_2294793	0.059834404	0.870967874
MYCTH_2294795	0.400230112	0.041260282
MYCTH_2294799	-0.100837703	0.701321224
MYCTH_2294800	-1.161975922	3.07157E-06
MYCTH_2294802	-0.227104188	0.188717327
MYCTH_2294805	-0.685898588	6.45406E-05
MYCTH_90985	0.725100479	0.000274823
MYCTH_2294810	-0.843923796	0.002616776
MYCTH_2294811	0.079277766	0.614002031
MYCTH_2294813	-0.336421436	0.21968244
MYCTH_2294814	0.502914397	0.030395689
MYCTH_2294815	-1.227444773	6.0134E-06
MYCTH_2294816	-0.634281487	0.072821683
MYCTH_2294817	0.462761565	0.024301795
MYCTH_2055659	-0.428704282	0.000624644
MYCTH_2294820	-0.808676523	0.000282245
MYCTH_2294821	0.21797581	0.196380557
MYCTH_2294824	0.167219046	0.834737593
MYCTH_2294825	-0.282710095	0.33503424
MYCTH_2114395	0.399311257	0.053668617
MYCTH_2141471	0.028024563	0.856876727
MYCTH_2294830	0.059050189	0.70167468
MYCTH_2294835	-0.317367817	0.004554041
MYCTH_2294840	0.349397787	0.049902283
MYCTH_2294844	-0.591588439	0.004594497
MYCTH_2294846	-0.004338051	0.989177742
MYCTH_2294851	-0.896190368	6.08283E-07
MYCTH_2294852	0.712353386	0.00504347
MYCTH_98907	-0.281181348	0.489701465
MYCTH_2294854	-0.907647651	0.006644155
MYCTH_2294858	-1.324375976	0.022886666
MYCTH_2294860	-0.350587921	0.031345631
MYCTH_2055845	-0.090587011	0.822257489
MYCTH_2294863	-0.152111571	0.375005122
MYCTH_2294864	0.082136286	0.642121186
MYCTH_2294867	-0.005370355	0.973783941
MYCTH_113886	-0.082400152	0.351986062
MYCTH_2294870	0.199865666	0.435022263
MYCTH_2294872	0.174426798	0.468068842
MYCTH_2313396	0.423829535	0.020759321
MYCTH_2294878	-1.257128447	0.004140302
MYCTH_2055546	-0.775353466	0.003324439
MYCTH_2294886	0.198896797	0.222688789
MYCTH_2141486	0.178249861	0.322021934
MYCTH_2294895	-0.269627057	0.3906106
MYCTH_2294897	0.018739885	0.915709744
MYCTH_2141489	-0.295917403	0.07563312
MYCTH_41855	0.531128432	0.004392498
MYCTH_2313405	0.404970563	0.003739198
MYCTH_98929	-0.394642247	0.237544078
MYCTH_2114422	0.373231098	0.007680357
MYCTH_105777	-0.420446546	0.03758039
MYCTH_2313408	-0.614569652	4.07467E-06
MYCTH_2294923	-0.363636245	0.013926034
MYCTH_2294926	0.638194596	0.048007245
MYCTH_2122366	1.275813436	0.113529643
MYCTH_2294928	0.498398798	0.082287485
MYCTH_2294934	0.393907269	0.080073006
MYCTH_2294938	-0.367817577	0.096513456
MYCTH_76096	-0.330769332	0.021555404
MYCTH_2294942	0.659106654	0.000702751
MYCTH_2294943	-0.110592438	0.438895985
MYCTH_2294947	-0.671544042	0.000101236
MYCTH_2106347	-0.827329251	0.073454386
MYCTH_62332	-0.29129756	0.097707283
MYCTH_105786	-0.041319129	0.818200561
MYCTH_2294959	0.325063875	0.056352096
MYCTH_2294962	-0.076125831	0.719824305
MYCTH_42937	-0.025137002	0.930248535
MYCTH_2294970	1.282030696	7.45964E-15
MYCTH_2294977	0.25713218	0.411867064
MYCTH_2294980	-0.20426136	0.398055307
MYCTH_113912	0.348385555	0.154370335
MYCTH_2294987	-0.846551937	0.023963163
MYCTH_2294991	0.294968765	0.103953676
MYCTH_2294994	0.157472875	0.353552088
MYCTH_98955	-1.025011315	1.07763E-05
MYCTH_2294996	0.347870974	0.123606629
MYCTH_2294998	0.18760758	0.387000302
MYCTH_2294999	-0.646978753	0.002860905
MYCTH_76126	0.587555697	0.000513087
MYCTH_2295005	-0.316740288	0.040265397
MYCTH_2295009	0.479347925	0.039978787
MYCTH_2141513	0.099132195	0.62428424
MYCTH_2295015	-0.530473964	0.097741775
MYCTH_2295017	0.148849617	0.790723615
MYCTH_2295019	-0.076225953	0.690312782
MYCTH_2295020	0.180122919	0.508433891
MYCTH_2295025	0.034321915	0.887278793
MYCTH_43573	0.485457606	0.071278004
MYCTH_2295033	-0.286499435	0.274256724
MYCTH_2295034	0.167167087	0.567637373
MYCTH_2114467	-1.554816772	0.137390382
MYCTH_2295037	1.186304918	0.000246556
MYCTH_2295038	0.736466493	0.024962066
MYCTH_2295039	0.194989959	0.392353093
MYCTH_2295040	0.786565205	2.26378E-05
MYCTH_2295044	-0.165113952	0.456592435
MYCTH_2141524	-0.193937401	0.2063122
MYCTH_2295050	-0.512395069	0.000203751
MYCTH_76163	-0.373965785	0.002437048
MYCTH_2295056	-0.635683921	0.000474725
MYCTH_2313432	0.46520424	0.024457236
MYCTH_2295064	-1.82845141	0.302835425
MYCTH_2075102	0.131911393	0.498752957
MYCTH_2295068	0.228445682	0.172409514
MYCTH_2295069	-0.547055601	0.076048114
MYCTH_91076	#N/A	#N/A
MYCTH_2050269	#N/A	#N/A
MYCTH_91077	0	1
MYCTH_2295071	-0.589488646	0.000120836
MYCTH_2040280	0.79951844	0.004706779
MYCTH_2295074	0.425964943	0.037975393
MYCTH_2295075	1.164805494	0.005245132
MYCTH_2295076	0.469368074	0.040412957
MYCTH_42071	0.654948121	0.003034536
MYCTH_2295083	-0.104600013	0.360901698
MYCTH_2295088	-0.455911642	0.195881553
MYCTH_2295089	-0.246939064	0.239294326
MYCTH_2295090	0.112243082	0.516184068
MYCTH_2295092	-1.229239335	1.47722E-05
MYCTH_98992	-0.597888032	0.254455103
MYCTH_2295096	-0.457165206	0.000207939
MYCTH_2295097	-0.195426848	0.145747393
MYCTH_2295098	0.039276924	0.839174227
MYCTH_2295100	-0.460250185	0.011099283
MYCTH_105822	0.379237523	0.004768125
MYCTH_2295106	-0.143191607	0.414652094
MYCTH_76199	-1.182246485	0.004101542
MYCTH_2295109	-0.477137461	0.061134405
MYCTH_2313446	0.918916464	1.46819E-07
MYCTH_2295112	0.30805648	0.006250811
MYCTH_2313449	-1.464249309	6.50351E-11
MYCTH_2295119	0.211145866	0.254803414
MYCTH_2295120	0.223848898	0.386159839
MYCTH_2295124	1.518098397	6.07607E-10
MYCTH_2295128	1.018637152	0.000513754
MYCTH_2295130	-0.068538464	0.753815116
MYCTH_2295132	-0.615206859	0.000333588
MYCTH_2087754	-0.170164507	0.337827219
MYCTH_2295135	-0.320414067	0.099380782
MYCTH_2295138	-0.289794361	0.078998596
MYCTH_2295141	0.431370584	0.037436647
MYCTH_2136659	0.213230034	0.222349031
MYCTH_2295145	-0.972851137	2.93217E-11
MYCTH_2313457	-0.628207994	0.000182869
MYCTH_2295152	0.038705926	0.89100726
MYCTH_2295153	-1.085985644	0.007458789
MYCTH_2295154	0.130809171	0.788223165
MYCTH_2295155	-0.401432189	0.081219204
MYCTH_2295158	-1.189061058	9.79246E-05
MYCTH_2087774	-0.298642857	0.419781829
MYCTH_2295162	0.057142999	0.733568412
MYCTH_2295164	0.236641069	0.525325952
MYCTH_2295168	0.310434794	0.164437739
MYCTH_2295173	0.295877944	0.082629294
MYCTH_2295174	-0.770060412	0.006955011
MYCTH_2295176	-1.45789066	3.61645E-11
MYCTH_2295177	-0.339540658	0.171756653
MYCTH_2295178	0.341608331	0.139332854
MYCTH_2295180	-0.204186341	0.343763029
MYCTH_2295183	-0.751255727	0.017650547
MYCTH_2106437	-0.555083722	0.000619297
MYCTH_2295186	-0.27257652	0.725965636
MYCTH_2114542	-1.636514929	0.000221258
MYCTH_2295190	0.983595317	1.95023E-13
MYCTH_2295193	-0.192776322	0.608231009
MYCTH_2295196	-0.241343125	0.126420333
MYCTH_2295198	-0.756433517	0.004652492
MYCTH_105847	0.485299245	0.00201401
MYCTH_2295204	-0.257251111	0.051956664
MYCTH_2295207	-0.20359888	0.33321228
MYCTH_2295212	0.117527403	0.576090128
MYCTH_2295218	-1.055759803	3.60035E-07
MYCTH_99040	0.361732725	0.026215817
MYCTH_2295230	0.602325234	4.03284E-06
MYCTH_2087807	-0.618624155	0.000317174
MYCTH_2295239	-0.601514784	0.000782486
MYCTH_2295242	0.819589544	8.96982E-09
MYCTH_2295243	-1.057269413	5.55299E-05
MYCTH_2295245	-0.386240358	0.080603561
MYCTH_2295248	-0.317125768	0.240572066
MYCTH_2295250	0.814815503	8.21219E-05
MYCTH_2295253	-0.542986341	0.004280576
MYCTH_2122496	-0.699226274	0.086847024
MYCTH_2295254	-0.426495458	0.068312064
MYCTH_2295255	-0.851913164	0.001455556
MYCTH_2295256	0.063140556	0.676488224
MYCTH_2295258	0.774392157	0.163536299
MYCTH_2295261	-0.37397256	0.010701803
MYCTH_2295266	0.688874529	0.287726103
MYCTH_2295268	0.742233487	0.006570709
MYCTH_2295272	0.389919064	0.049163119
MYCTH_113985	-0.787194466	8.2547E-08
MYCTH_2295275	0.405396484	0.144623067
MYCTH_2295280	-0.348805743	0.090493881
MYCTH_2295283	0.116905935	0.584691552
MYCTH_2295284	0.016000295	0.946916995
MYCTH_2295287	-0.498165522	0.000231441
MYCTH_2295289	-0.324394785	0.193650074
MYCTH_2295290	0.36179603	0.047516964
MYCTH_2295293	-0.253130821	0.227154664
MYCTH_110298	-0.23457881	0.327611746
MYCTH_105869	-0.191461138	0.583229555
MYCTH_2106471	2.626355925	5.13416E-07
MYCTH_2295298	1.167574088	0.000245514
MYCTH_2295301	0.602160206	0.000888076
MYCTH_23848	1.277064292	0.009385776
MYCTH_2295307	-0.28326886	0.111081237
MYCTH_2295309	1.987746661	6.75352E-17
MYCTH_2295311	1.796971828	6.80422E-06
