GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_2294795,31.46,26.06,20.6,16.05
Mycth_52904,9.48,5.51,21.03,16.02
Mycth_2307571,29.55,16.82,17.45,16
Mycth_2294485,13.79,17.82,16.95,15.91
Mycth_2312897,13.95,8.99,13.8,15.9
Mycth_2087807,4.79,16.25,17.28,15.76
Mycth_110806,18.1,17.06,24.01,15.66
Mycth_84297,8.97,10.43,20.66,15.62
Mycth_2311687,12.3,3.46,12.88,15.6
Mycth_90655,33.39,30.21,18.95,15.51
Mycth_78093,15.17,106.35,22.53,15.36
Mycth_2313009,26.16,35.22,10.36,15.21
Mycth_2310599,11.67,13.33,14.92,14.92
Mycth_2309575,0,0.67,5.12,14.83
Mycth_2303407,15.89,17.8,13.07,14.7
